tobs tobs_E tobs_e Funabs Funabs_E Funabs_e
147.996	16.173	-18.929	1.18570854737858e-10	2.65874310646273e-11	-2.65874310646273e-11
184.347	19.939	-20.178	1.0287898580205e-10	2.31119201168526e-11	-2.31119201168526e-11
217.067	14.799	-12.781	1.49795150173244e-10	3.36516941440662e-11	-3.36516941440662e-11
249.925	22.058	-18.059	9.85511004609736e-11	2.21189840759481e-11	-2.21189840759481e-11
296.552	18.055	-24.569	9.83976390139291e-11	2.10139760452006e-11	-2.10139760452006e-11
338.378	28.884	-23.77	7.53998790480592e-11	1.64974380054946e-11	-1.64974380054946e-11
407.307	52.725	-40.046	4.07504262406125e-11	9.17177860742149e-12	-9.17177860742149e-12
504.101	43.687	-44.069	4.65377095626741e-11	1.02005357000631e-11	-1.02005357000631e-11
626.759	86.512	-78.971	2.44354634454943e-11	5.49973901181037e-12	-5.49973901181037e-12
790.918	52.732	-77.648	3.24779746573576e-11	7.30304941734002e-12	-7.30304941734002e-12
886.205	55.231	-42.555	2.59732510209699e-11	5.84105069234734e-12	-5.84105069234734e-12
977.529	44.140	-36.094	2.9198024480843e-11	6.59167084675189e-12	-6.59167084675189e-12
1070.337	66.669	-48.667	2.01549734069615e-11	4.54576351126188e-12	-4.54576351126188e-12
1190.629	54.191	-53.623	2.26819383974644e-11	4.98579368156479e-12	-4.98579368156479e-12
1291.530	58.597	-46.71	2.20542229846973e-11	4.95507640597929e-12	-4.95507640597929e-12
1400.205	45.201	-50.077	2.55988773724918e-11	5.62183648566061e-12	-5.62183648566061e-12
1565.051	106.008	-119.646	1.61492101266963e-11	2.92265855711242e-12	-2.92265855711242e-12
7127.205	10536.450	-2059.398	5.61261841252573e-13	1.50930650928022e-13	-1.50930650928022e-13
30198.267	14607.054	-2962.359	1.56101590562843e-13	9.14850920975627e-14	-6.7571045520963e-14
